gene,logp
TRINITY_DN0_c0_g1,0
TRINITY_DN1_c1_g1,0
TRINITY_DN10_c1_g1,0
TRINITY_DN100_c0_g1,0
TRINITY_DN100_c0_g2,0
TRINITY_DN1000_c1_g1,0
TRINITY_DN1000_c1_g2,0
TRINITY_DN10002_c0_g1,0.0649818265779318
TRINITY_DN100023_c0_g1,1.40597267616858
TRINITY_DN100030_c0_g1,0
TRINITY_DN10005_c0_g1,0
TRINITY_DN100055_c0_g1,0.0322641008778487
TRINITY_DN100055_c0_g2,0.413543394906011
TRINITY_DN10007_c0_g2,0
TRINITY_DN10008_c1_g1,-0.50572504089954
TRINITY_DN1001_c0_g1,0
TRINITY_DN10011_c2_g1,0
TRINITY_DN10013_c0_g1,0.507416042991183
TRINITY_DN10016_c0_g1,0
TRINITY_DN100172_c0_g1,0.716018406714005
TRINITY_DN10018_c0_g1,0.271551740029722
TRINITY_DN10019_c0_g1,0.0321437688993275
TRINITY_DN10020_c0_g1,0
TRINITY_DN10023_c0_g1,-0.0964710239133448
TRINITY_DN100245_c1_g1,0
TRINITY_DN100257_c0_g1,0
TRINITY_DN10027_c0_g1,0
TRINITY_DN100280_c0_g1,-0.419447436205052
TRINITY_DN10029_c0_g1,-0.0852072577544732
TRINITY_DN1003_c0_g1,0
TRINITY_DN1003_c1_g1,-0.0431202811582651
TRINITY_DN10030_c1_g1,0
TRINITY_DN10031_c1_g1,-0.0868224776950913
TRINITY_DN100330_c0_g1,0.0749795399833213
TRINITY_DN100332_c0_g1,0.52025793649825
TRINITY_DN100332_c0_g2,0
TRINITY_DN100333_c0_g1,0.314327588256673
TRINITY_DN10039_c1_g1,0
TRINITY_DN10039_c1_g2,-0.146172982490968
TRINITY_DN100394_c0_g1,0
TRINITY_DN100436_c0_g1,0.0177917134343983
TRINITY_DN10046_c0_g1,0
TRINITY_DN10047_c0_g1,0
TRINITY_DN100472_c0_g1,-0.212132054621933
TRINITY_DN10050_c0_g1,0.116908666440565
TRINITY_DN10053_c0_g1,-0.294538683101024
TRINITY_DN10053_c11_g1,0.376616048457258
TRINITY_DN100531_c0_g1,0
TRINITY_DN100539_c0_g1,0.0345781518067051
TRINITY_DN10055_c0_g1,0
TRINITY_DN100556_c0_g1,-0.115461478069121
TRINITY_DN10056_c1_g1,-0.83927214640898
TRINITY_DN100568_c0_g1,-0.240995302901116
TRINITY_DN100571_c0_g1,0.176493336398553
TRINITY_DN100575_c0_g1,0.112051384571239
TRINITY_DN100578_c0_g1,0.598497696931006
TRINITY_DN100587_c0_g1,0
TRINITY_DN10059_c0_g1,-0.17900308770111
TRINITY_DN1006_c0_g1,0
TRINITY_DN100612_c0_g1,0
TRINITY_DN100628_c0_g1,0.0861784616616827
TRINITY_DN100648_c0_g1,0.367091254565685
TRINITY_DN100664_c2_g1,0.126078642542062
TRINITY_DN1007_c0_g1,0.100327637825681
TRINITY_DN100712_c0_g1,-0.507242735107053
TRINITY_DN100717_c0_g1,0.00388670714799947
TRINITY_DN10072_c0_g1,0
TRINITY_DN10073_c0_g1,0
TRINITY_DN10073_c0_g3,-0.119388662244823
TRINITY_DN100739_c0_g2,0.781176707402775
TRINITY_DN10076_c0_g1,0
TRINITY_DN10077_c0_g1,0.328990222674786
TRINITY_DN100786_c0_g1,-1.05048734988318
TRINITY_DN100790_c0_g1,-0.155990772643726
TRINITY_DN1008_c0_g1,0
TRINITY_DN100808_c0_g1,0.428731851291558
TRINITY_DN100813_c0_g1,0
TRINITY_DN10083_c0_g1,0
TRINITY_DN100860_c0_g2,-0.0548027601272004
TRINITY_DN100883_c0_g1,-0.706363799898066
TRINITY_DN100887_c0_g1,0.0961431140521677
TRINITY_DN1009_c1_g1,0
TRINITY_DN100923_c0_g1,-0.140236371145295
TRINITY_DN100927_c1_g1,0
TRINITY_DN100927_c1_g2,0.351391572774158
TRINITY_DN100969_c0_g2,0
TRINITY_DN1010_c0_g1,0
TRINITY_DN101023_c0_g1,0
TRINITY_DN10104_c0_g1,0
TRINITY_DN10108_c0_g1,0
TRINITY_DN1011_c1_g2,-0.00984585076364167
TRINITY_DN1011_c2_g1,0
TRINITY_DN1011_c4_g1,0
TRINITY_DN10110_c0_g1,0
TRINITY_DN101119_c0_g1,0
TRINITY_DN10112_c1_g1,0
TRINITY_DN10113_c0_g1,0
TRINITY_DN10113_c0_g2,0
TRINITY_DN10116_c0_g1,0
TRINITY_DN10117_c0_g1,-0.705728381790755
TRINITY_DN10117_c1_g1,0
TRINITY_DN10118_c0_g1,0
TRINITY_DN101187_c0_g2,0.55512108190832
TRINITY_DN10119_c0_g1,0
TRINITY_DN10119_c1_g1,-0.344443262468654
TRINITY_DN1012_c0_g1,0.230552967919732
TRINITY_DN10120_c0_g1,-0.397231155019964
TRINITY_DN101212_c0_g1,-0.208738241811416
TRINITY_DN101215_c0_g1,0
TRINITY_DN101220_c0_g2,-0.228760985004752
TRINITY_DN10124_c0_g2,-1.58325914630873
TRINITY_DN101250_c0_g1,-0.387089323177449
TRINITY_DN101261_c0_g1,-0.0567853990968675
TRINITY_DN101268_c0_g1,0.0934360931982909
TRINITY_DN101287_c0_g1,-0.109244124803478
TRINITY_DN10129_c1_g1,0.126520479478762
TRINITY_DN10129_c1_g2,0
TRINITY_DN1013_c0_g1,0.116586067713804
TRINITY_DN101322_c0_g1,0.112253661754433
TRINITY_DN10133_c0_g1,0
TRINITY_DN10137_c0_g3,0
TRINITY_DN101381_c0_g1,0.148619554358543
TRINITY_DN1014_c0_g1,0
TRINITY_DN101406_c0_g1,0.0900947103910248
TRINITY_DN101451_c1_g1,0.387273038183666
TRINITY_DN101461_c0_g1,0
TRINITY_DN101469_c0_g1,0
TRINITY_DN10147_c0_g1,0
TRINITY_DN1015_c0_g1,0
TRINITY_DN101500_c0_g1,0
TRINITY_DN101541_c0_g1,0
TRINITY_DN1016_c2_g1,-0.344649503996201
TRINITY_DN101636_c0_g1,-0.162868468101486
TRINITY_DN101641_c0_g1,-0.103082715932086
TRINITY_DN101643_c0_g1,0
TRINITY_DN101645_c0_g1,-0.0411431740060012
TRINITY_DN10165_c0_g1,0
TRINITY_DN10169_c0_g1,0
TRINITY_DN10172_c0_g1,-0.0438038812196965
TRINITY_DN1018_c0_g1,0
TRINITY_DN10181_c0_g1,0.330888039695199
TRINITY_DN10182_c0_g1,0
TRINITY_DN10183_c0_g1,-0.972701689650775
TRINITY_DN10189_c0_g1,0
TRINITY_DN1019_c0_g1,0
TRINITY_DN10190_c0_g1,0
TRINITY_DN10196_c0_g1,-0.324895899288592
TRINITY_DN10197_c0_g1,0
TRINITY_DN10198_c0_g1,0
TRINITY_DN101980_c0_g1,0.426434008275081
TRINITY_DN10199_c0_g1,0
TRINITY_DN102_c0_g3,0
TRINITY_DN10200_c2_g1,0.346480423127658
TRINITY_DN10201_c1_g1,0
TRINITY_DN10202_c0_g1,0
TRINITY_DN102023_c0_g1,0
TRINITY_DN10203_c0_g1,0
TRINITY_DN102036_c0_g1,-0.318407350898309
TRINITY_DN102046_c0_g1,0.159739610391147
TRINITY_DN10205_c0_g1,0
TRINITY_DN102056_c0_g1,-0.630318667524399
TRINITY_DN10207_c0_g1,-0.261291399117889
TRINITY_DN1021_c0_g1,0
TRINITY_DN102109_c0_g1,0
TRINITY_DN10215_c0_g1,-0.247112751182445
TRINITY_DN10219_c0_g1,-0.0761320162604387
TRINITY_DN10222_c0_g1,0
TRINITY_DN1023_c0_g1,0
TRINITY_DN10232_c0_g1,-0.3551801281081
TRINITY_DN102325_c0_g1,-0.00380582717995652
TRINITY_DN102338_c0_g2,0.00296033283976154
TRINITY_DN10235_c0_g1,0.440765225496331
TRINITY_DN10238_c0_g1,0
TRINITY_DN10243_c0_g1,0.148152833824427
TRINITY_DN10247_c0_g1,0
TRINITY_DN10249_c0_g1,0
TRINITY_DN10256_c0_g1,0.201748994466572
TRINITY_DN10257_c0_g1,0
TRINITY_DN10259_c0_g2,0.0116901199292429
TRINITY_DN1026_c0_g1,0.0742475676644508
TRINITY_DN102606_c0_g3,-0.0714378465410742
TRINITY_DN10261_c4_g1,-0.00259997174795352
TRINITY_DN102620_c0_g1,-0.0437571858604225
TRINITY_DN102630_c0_g1,0
TRINITY_DN10264_c0_g1,0
TRINITY_DN10265_c0_g1,0
TRINITY_DN10265_c1_g1,-0.160149998447686
TRINITY_DN102658_c0_g1,-0.434757445339629
TRINITY_DN10266_c0_g1,0
TRINITY_DN10269_c0_g1,0
TRINITY_DN10272_c0_g1,0
TRINITY_DN102723_c0_g1,0.150362250661392
TRINITY_DN10275_c0_g1,0
TRINITY_DN102787_c0_g1,0.0491412599205337
TRINITY_DN10280_c0_g1,0
TRINITY_DN102821_c0_g1,0.0537324495160193
TRINITY_DN102828_c0_g1,0.144348925765861
TRINITY_DN10283_c0_g1,-0.116068389898364
TRINITY_DN10284_c0_g1,0
TRINITY_DN10285_c0_g1,0.0428944928559701
TRINITY_DN10287_c0_g1,0
TRINITY_DN1029_c0_g1,0.0272244267602078
TRINITY_DN102906_c0_g1,0
TRINITY_DN10291_c0_g1,0
TRINITY_DN102924_c0_g1,0
TRINITY_DN10294_c0_g1,0
TRINITY_DN10296_c0_g1,-0.0549480698561393
TRINITY_DN10297_c1_g1,0
TRINITY_DN10298_c0_g1,0
TRINITY_DN10299_c0_g2,0.113359638324215
TRINITY_DN102996_c0_g1,0
TRINITY_DN103_c0_g1,0.00268313071775401
TRINITY_DN10300_c1_g1,0
TRINITY_DN103011_c0_g1,0.00955634821943639
TRINITY_DN10305_c0_g1,0
TRINITY_DN10305_c1_g1,0
TRINITY_DN103059_c0_g1,-0.400054148829904
TRINITY_DN10307_c0_g1,0.0846958764823153
TRINITY_DN103077_c0_g1,0
TRINITY_DN103087_c0_g1,0.0296192521782952
TRINITY_DN10310_c0_g1,0
TRINITY_DN10312_c0_g1,0.231568358387
TRINITY_DN10316_c0_g1,0
TRINITY_DN10316_c0_g2,-0.0416045835498774
TRINITY_DN10316_c0_g3,0
TRINITY_DN103223_c0_g1,0.0505884967734934
TRINITY_DN103228_c0_g1,0.187783709556349
TRINITY_DN103251_c0_g2,0.454837576451843
TRINITY_DN103289_c0_g1,-0.510925326776931
TRINITY_DN1033_c0_g1,0
TRINITY_DN10331_c0_g1,0
TRINITY_DN103317_c0_g1,-0.302240129555259
TRINITY_DN103318_c0_g1,-0.354882280865451
